Survived,Pclass,SibSp,Parch,Age_Missing,FamilySize,IsAlone,Fare_Log,FarePerPerson_Log,Age_Log,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Deck_A,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_U,AgeGroup_Child,AgeGroup_Teen,AgeGroup_Adult,AgeGroup_Senior,FamilyType_Alone,FamilyType_Small,FamilyType_Large,Pclass_Fare,Pclass_Age
0,3,1,1,0,3,0,3.025931647284833,2.0199215179036303,3.571579587378919,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,9.0777949418545,103.71821713773562
0,3,0,0,0,1,1,3.2565954118952147,3.2565954118952147,4.011844631142196,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,9.769786235685643,162.74607023745943
0,3,0,0,0,1,1,2.617965013885501,2.617965013885501,3.7096704452767044,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7.853895041656504,119.52103554099513
0,2,1,0,0,2,0,2.9693574969186787,2.3262723223072,3.8177155126806723,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,5.938714993837357,89.00028999232492
1,1,0,0,1,1,1,4.687711922332873,4.687711922332873,3.388017377110765,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,4.687711922332873,28.607194141219725
0,3,0,0,0,1,1,2.9549206956461496,2.9549206956461496,3.433933394010701,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,8.864762086938448,89.99499576051807
0,2,0,2,1,3,0,1.9473662313099778,1.0997449802640433,3.388017377110765,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3.8947324626199555,57.21438828243945
1,1,0,2,0,3,0,4.603030899345307,3.524263228788791,3.1852540438191936,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4.603030899345307,23.17342873601471
1,3,1,5,0,7,0,2.6386643952838176,1.049547086679244,2.0269330147479443,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,7.915993185851453,19.772309526579004
1,1,0,1,0,2,0,3.818241856060759,3.146823277342789,3.201376188459984,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,3.818241856060759,23.56631482373541
1,3,0,0,0,1,1,2.598346936010247,2.598346936010247,1.8970855412473944,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,7.795040808030741,16.999311139093766
0,2,0,0,0,1,1,2.235034038731766,2.235034038731766,3.8206424072756278,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.470068077463532,89.26702841644618
0,3,0,0,0,1,1,0.6484635729333053,0.6484635729333053,3.5806474109111366,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1.9453907187999158,104.69031986545446
0,2,0,0,0,1,1,3.075859593032463,3.075859593032463,3.4321025463759405,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,6.151719186064926,59.883261238110414
0,3,0,0,0,1,1,3.0547838941465515,3.0547838941465515,3.3191865945903425,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,9.164351682439655,79.91358188308536
0,3,0,1,0,2,0,2.417849403768804,1.8100658797106883,4.1298786583075495,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,7.253548211306413,183.51113585426452
1,1,0,1,1,2,0,3.6099309392597054,2.943477991249639,3.388017377110765,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3.6099309392597054,28.607194141219725
1,3,0,2,0,3,0,2.0225536794727876,1.1587243608527673,2.9472641270139617,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6.067661038418363,54.16126111329401
1,3,0,1,0,2,0,2.9118940386380348,2.2716928020515117,3.065725326597291,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,8.735682115914104,61.35004383673203
1,3,0,6,0,7,0,3.3083179119536754,1.560820733301894,3.244346701235854,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,9.924953735861026,73.93485231530201
0,3,0,0,0,1,1,3.0038789986897596,3.0038789986897596,4.1298786583075495,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,9.011636996069278,183.51113585426452
0,3,2,1,1,4,0,3.194841295693431,1.92447855285227,3.388017377110765,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,9.584523887080293,85.82158242365918
0,3,0,0,0,1,1,1.7261537121300612,1.7261537121300612,2.581297880219805,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,5.178461136390183,36.64283275286394
1,1,0,0,0,1,1,4.398189066057626,4.398189066057626,3.4309056747507376,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.398189066057626,29.90461961245976
1,1,0,4,0,5,0,4.912173152073963,3.3317365435530455,3.2122131526043445,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4.912173152073963,23.833986853124628
1,1,3,2,0,6,0,2.710786454145091,1.206025695701757,2.9586567913270274,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,2.710786454145091,18.272067953470422
0,2,0,0,0,1,1,2.6683595108603293,2.6683595108603293,2.7655959295941313,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,5.336719021720659,29.777011201218087
1,2,1,0,0,2,0,3.4151068614314934,2.754303817619645,2.034288096985948,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,6.830213722862987,13.29361280553885
0,2,0,0,0,1,1,3.160581236414488,3.160581236414488,3.5364160161194227,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,6.321162472828976,66.6872228132196
0,3,2,0,0,3,0,1.8372266581080359,1.0151219781690841,3.7073258978053176,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5.511679974324108,119.23411563702436
1,2,1,2,1,4,0,1.5458163041367756,0.6538604652285682,3.388017377110765,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3.0916326082735512,57.21438828243945
0,2,0,0,0,1,1,3.537277190979349,3.537277190979349,2.98415732753065,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7.074554381958698,37.539671437729965
0,3,0,0,0,1,1,1.4877447421553764,1.4877447421553764,3.9145431231788055,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.463234226466129,147.37849438749322
0,1,0,0,1,1,1,4.758919070820836,4.758919070820836,3.388017377110765,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.758919070820836,28.607194141219725
0,3,0,0,0,1,1,2.2757892702068827,2.2757892702068827,4.115716272157687,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,6.827367810620649,180.88830970431894
1,1,0,0,0,1,1,4.922557166512294,4.922557166512294,3.348950720594133,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.922557166512294,27.472841997430947
0,3,0,2,0,3,0,1.733918469538205,0.9377651635406993,2.8968319891012997,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,5.201755408614615,51.34998174939215
1,3,0,0,0,1,1,3.5530139109067873,3.5530139109067873,0.9723484550591319,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,10.659041732720361,4.932440500539858
1,1,0,0,0,1,1,4.655054037577627,4.655054037577627,3.74537665482066,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.655054037577627,41.32494611190616
0,1,0,0,0,1,1,4.730511254288914,4.730511254288914,3.2488802030158586,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.730511254288914,24.76147613613743
0,3,0,0,0,1,1,2.056121736358219,2.056121736358219,3.3611417696698824,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,6.168365209074657,83.46624083008291
0,3,0,1,0,2,0,2.5597821844331072,1.9411129465715093,3.7311422692359932,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,7.679346553299322,122.18023238531251
1,3,5,0,1,6,0,2.575691453993439,1.1063820259324704,3.388017377110765,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,7.727074361980316,85.82158242365918
0,3,0,0,0,1,1,3.3452793746700387,3.3452793746700387,3.873946089092711,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,10.035838124010116,141.3958343081102
0,1,1,0,0,2,0,4.654234598262359,3.9705635747620813,2.6777436749259893,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4.654234598262359,13.552221682638889
0,2,0,0,0,1,1,3.2748137163959523,3.2748137163959523,3.9310905880322955,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,6.549627432791905,99.92505298948848
1,1,0,0,0,1,1,4.71521133039241,4.71521133039241,3.3285314953870104,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,4.71521133039241,26.897344229423343
1,3,0,0,0,1,1,2.9459588761691653,2.9459588761691653,3.8842702114568204,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,8.837876628507496,142.89431651728603
1,3,0,1,0,2,0,1.0593169060604675,0.6638213511781166,3.515139420889261,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,3.1779507181814024,97.86184503965622
0,2,1,0,0,2,0,3.7255175081493395,3.056185115911297,3.527899084245349,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,7.451035016298679,66.10470257971183
1,1,0,0,0,1,1,3.7166307986447613,3.7166307986447613,2.850509982476293,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3.7166307986447613,16.29660055486405
0,2,0,0,0,1,1,3.026067473350064,3.026067473350064,3.3934130768084,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,6.052134946700128,57.53475486307077
0,2,3,0,0,4,0,3.5922253716768635,2.285306677193773,3.576145566990854,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,7.184450743353727,69.47106965081699
0,3,0,2,1,3,0,3.383610298235104,2.3506448317376054,3.388017377110765,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,10.150830894705312,85.82158242365918
0,3,5,0,0,6,0,3.017865516188453,1.4448619667676839,3.1813417222196954,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,9.05359654856536,69.23711781001789
0,3,5,0,0,6,0,2.298818006424802,0.9137809182585983,2.601967581691311,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6.8964540192744055,37.470765354494496
0,3,0,2,0,3,0,2.709509136338454,1.7358884616190802,3.4438485283436027,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,8.128527409015362,90.92163994504395
1,1,0,0,0,1,1,4.5363387300443785,4.5363387300443785,3.6024606729789586,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.5363387300443785,35.68840162072302
0,3,0,0,0,1,1,2.748494524313634,2.748494524313634,3.0632052700258243,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,8.245483572940902,61.18808224778431
0,3,0,0,1,1,1,1.4254189158039408,1.4254189158039408,3.388017377110765,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.276256747411822,85.82158242365918
1,3,0,0,0,1,1,3.1814189951574594,3.1814189951574594,3.755163599473373,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,9.544256985472378,125.22363503497729
0,3,3,0,1,4,0,2.7131505057411527,1.508329455061056,3.388017377110765,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,8.139451517223458,85.82158242365918
1,3,1,0,0,2,0,2.1068378131615955,1.5284664402589758,3.916222825614197,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6.320513439484786,147.6312977685355
0,3,0,0,1,1,1,2.303874261658917,2.303874261658917,3.388017377110765,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,6.9116227849767515,85.82158242365918
1,2,0,5,0,6,0,3.1654117549988765,1.5650853873633053,2.731186887553716,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6.330823509997753,28.702192473364835
1,1,1,0,0,2,0,2.69831631349018,2.070318805775477,3.254619594765409,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2.69831631349018,24.909756452103576
1,1,0,0,1,1,1,4.859206018996836,4.859206018996836,3.388017377110765,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.859206018996836,28.607194141219725
1,1,1,0,0,2,0,4.5719907872902725,3.8891279013509426,2.849059149633894,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4.5719907872902725,16.271524273861843
0,3,0,1,1,2,0,3.2781065344637614,2.62196566718808,3.388017377110765,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,9.834319603391284,85.82158242365918
1,2,0,0,0,1,1,3.080799261443715,3.080799261443715,4.1298786583075495,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,6.16159852288743,122.34075723617636
0,3,0,0,0,1,1,1.6710784885823522,1.6710784885823522,3.1530798637273145,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,5.013235465747057,67.2241418139681
0,3,1,0,0,2,0,1.485596562193753,0.9965057323967339,1.7657008430265972,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4.456789686581259,14.53700345492177
1,2,0,0,0,1,1,2.8386631726089218,2.8386631726089218,1.4956162040515286,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,5.6773263452178435,6.924170521788724
1,2,1,1,0,3,0,2.8987256556118406,1.9046416262847274,2.9618015926711574,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5.797451311223681,36.66554035372782
0,3,0,0,0,1,1,2.2472732085629583,2.2472732085629583,3.9956483357911265,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,6.7418196256888745,160.08322029234924
0,1,1,0,0,2,0,4.515508026048362,3.833239504620772,2.7312135047351114,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,4.515508026048362,14.351504845033546
1,1,0,0,0,1,1,4.013998197338268,4.013998197338268,3.257255691428861,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.013998197338268,24.978147177315137
0,2,0,0,0,1,1,3.1587903077087334,3.1587903077087334,2.9567065030405977,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,6.317580615417467,36.46903698624766
1,1,1,1,0,3,0,4.076988140523864,3.011730286855394,2.145364235502522,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4.076988140523864,7.545153118671159
1,3,0,0,0,1,1,2.9472560600968762,2.9472560600968762,2.574594460233554,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,8.841768180290629,36.37797890056537
0,3,0,0,0,1,1,2.4440152084119235,2.4440152084119235,3.322777918459612,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,7.332045625235771,80.21188674285214
1,3,0,0,0,1,1,3.176790532723416,3.176790532723416,1.1237357140614685,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,9.530371598170248,6.228975104308992
0,3,1,0,0,2,0,2.955868153458848,2.3134459003267915,2.7672196210444997,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,8.867604460376544,44.74297376001894
1,3,2,0,0,3,0,2.743977033844287,1.7663675844260713,3.0623301297909706,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,8.231931101532862,61.13193324711955
1,1,0,0,0,1,1,4.312356301618797,4.312356301618797,3.7813639727037818,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,4.312356301618797,42.87584639718023
0,3,0,0,0,1,1,0.6140498592012428,0.6140498592012428,3.514173337325017,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1.8421495776037284,97.76445112181065
1,3,1,0,1,2,0,3.231136356438699,2.576741099264104,3.388017377110765,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,9.693409069316097,85.82158242365918
1,3,0,0,1,1,1,2.1463756286569353,2.1463756286569353,3.388017377110765,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,6.439126885970806,85.82158242365918
1,3,2,0,0,3,0,2.68960784821316,1.7183461275575798,3.6668226892769726,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,8.068823544639478,114.38216483757503
0,2,0,1,0,2,0,3.1961392978943306,2.5430969384693474,3.3371872660946313,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6.392278595788661,54.27973066754856
1,1,4,1,1,6,0,4.3284201405858695,2.600519430910172,3.388017377110765,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,4.3284201405858695,28.607194141219725
1,1,1,0,0,2,0,5.028672311332353,4.3420512868554715,3.889387842666319,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5.028672311332353,47.88095452832951
0,2,1,0,0,2,0,2.173193690201702,1.5878362678763394,3.2122879717572115,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4.346387380403404,47.67168996098836
0,3,0,0,0,1,1,3.327604661358782,3.327604661358782,3.3284962100649085,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,9.982813984076346,80.68907964003918
1,3,0,1,0,2,0,2.963854534655968,2.3210387716522924,3.4303045752649086,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,8.891563603967903,89.6581453308605
0,1,0,1,0,2,0,4.2860524844900025,3.606570639090877,3.016097098434546,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4.2860524844900025,19.41147205519996
1,3,0,1,0,2,0,2.4947084547602607,1.8808533984219349,2.9060435201437658,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,7.484125364280782,51.852941250528694
0,2,0,1,1,2,0,1.1531636032726134,0.7343371073848078,3.388017377110765,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2.3063272065452267,57.21438828243945
1,1,0,0,0,1,1,3.7515819157253367,3.7515819157253367,3.302935530861273,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,3.7515819157253367,26.19234584276641
